30303,Atlanta
30306,Atlanta
30307,Atlanta
30308,Atlanta
30309,Atlanta
30310,Atlanta
30312,Atlanta
30313,Atlanta
30314,Atlanta
30315,Atlanta
30316,Atlanta
30318,Atlanta
30324,Atlanta
30327,Atlanta
30332,Atlanta
30361,Atlanta
30363,Atlanta
78701,Austin
78702,Austin
78703,Austin
78704,Austin
78705,Austin
78712,Austin
78721,Austin
78722,Austin
78723,Austin
78731,Austin
78741,Austin
78742,Austin
78751,Austin
78752,Austin
78756,Austin
78757,Austin
78759,Austin
18015,Bethlehem
18017,Bethlehem
18018,Bethlehem
47401,Bloomington
47403,Bloomington
47404,Bloomington
47405,Bloomington
47406,Bloomington
47408,Bloomington
61820,Bloomington
2111,Boston
2114,Boston
2115,Boston
2116,Boston
2118,Boston
2119,Boston
2120,Boston
2129,Boston
2130,Boston
2134,Boston
2135,Boston
2138,Boston
2139,Boston
2140,Boston
2141,Boston
2142,Boston
2143,Boston
2144,Boston
2145,Boston
2148,Boston
2155,Boston
2163,Boston
2199,Boston
2215,Boston
2445,Boston
2446,Boston
2452,Boston
2453,Boston
2458,Boston
2459,Boston
2460,Boston
2465,Boston
2467,Boston
2472,Boston
2478,Boston
2748,Boston
61801,Champaign-Urbana
61802,Champaign-Urbana
61820,Champaign-Urbana
61821,Champaign-Urbana
61822,Champaign-Urbana
60601,Chicago
60602,Chicago
60603,Chicago
60604,Chicago
60605,Chicago
60606,Chicago
60607,Chicago
60608,Chicago
60610,Chicago
60611,Chicago
60612,Chicago
60613,Chicago
60614,Chicago
60616,Chicago
60618,Chicago
60622,Chicago
60625,Chicago
60630,Chicago
60640,Chicago
60641,Chicago
60642,Chicago
60647,Chicago
60651,Chicago
60654,Chicago
60657,Chicago
60661,Chicago
43201,Columbus
43202,Columbus
43203,Columbus
43204,Columbus
43205,Columbus
43206,Columbus
43210,Columbus
43211,Columbus
43212,Columbus
43215,Columbus
43221,Columbus
43222,Columbus
80002,Denver
80003,Denver
80033,Denver
80110,Denver
80113,Denver
80202,Denver
80203,Denver
80204,Denver
80205,Denver
80206,Denver
80207,Denver
80209,Denver
80210,Denver
80211,Denver
80212,Denver
80214,Denver
80215,Denver
80216,Denver
80218,Denver
80219,Denver
80220,Denver
80221,Denver
80222,Denver
80223,Denver
80224,Denver
80226,Denver
80227,Denver
80228,Denver
80231,Denver
80232,Denver
80235,Denver
80236,Denver
80237,Denver
80246,Denver
80294,Denver
60045,Evanston
60076,Evanston
60091,Evanston
60101,Evanston
60201,Evanston
60202,Evanston
60203,Evanston
60208,Evanston
60220,Evanston
60559,Evanston
60606,Evanston
60625,Evanston
60626,Evanston
60630,Evanston
60640,Evanston
60645,Evanston
60646,Evanston
60659,Evanston
60660,Evanston
60712,Evanston
86001,Flagstaff
86004,Flagstaff
86011,Flagstaff
40901,Lafayette
47901,Lafayette
47904,Lafayette
47905,Lafayette
47906,Lafayette
47907,Lafayette
47909,Lafayette
52703,Madison
53702,Madison
53703,Madison
53704,Madison
53705,Madison
53706,Madison
53711,Madison
53713,Madison
53715,Madison
53716,Madison
53726,Madison
